id,name,latitude,longitude,district,address,dmrcaRegistrationNo,confidence,verificationStatus,verifiedAt,womenPrayer,parking,airConditioning,wudu,jummah,notes,sourceTypes,nsdiId,osmId,sourcesJson
nsdi-28172,Darun Kuran Alikarin Mosque,7.195083582000052,80.10427672200007,Gampaha,,,low,unverified,,,,,,,,nsdi,28172,,"[{""type"": ""nsdi"", ""id"": ""28172"", ""buildingId"": ""6000013"", ""originalName"": ""Darun Kuran Alikarin Mosque"", ""latitude"": 7.195083582000052, ""longitude"": 80.10427672200007, ""district"": ""Gampaha"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-28282,,7.151785835000055,80.05663783500006,Gampaha,,,low,unverified,,,,,,,,nsdi,28282,,"[{""type"": ""nsdi"", ""id"": ""28282"", ""buildingId"": ""6000484"", ""originalName"": null, ""latitude"": 7.151785835000055, ""longitude"": 80.05663783500006, ""district"": ""Gampaha"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-28291,,7.15323406400006,80.12931389300007,Gampaha,,,low,unverified,,,,,,,,nsdi,28291,,"[{""type"": ""nsdi"", ""id"": ""28291"", ""buildingId"": ""6000494"", ""originalName"": null, ""latitude"": 7.15323406400006, ""longitude"": 80.12931389300007, ""district"": ""Gampaha"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-28312,Masjidul Falah,7.095965522000029,80.10397334200007,Gampaha,,,low,needs_review,,,,,,,"A low-confidence DMRCA candidate exists (registrationNo=R/945/GM.27, name='MAGUNAMUL FALAH JUMMA MOSQUE', score=100.0) — not linked, needs manual review.",nsdi,28312,,"[{""type"": ""nsdi"", ""id"": ""28312"", ""buildingId"": ""6000516"", ""originalName"": ""Masjidul Falah"", ""latitude"": 7.095965522000029, ""longitude"": 80.10397334200007, ""district"": ""Gampaha"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-28313,MUHIYADEEN THAKKIYA,7.0976820440000665,80.11205571200009,Gampaha,"300, DIPPITIGODA ROAD, HUNUPITIYA",R/2241/GM/82,high,needs_review,,,,,,,,"dmrca,nsdi",28313,,"[{""type"": ""nsdi"", ""id"": ""28313"", ""buildingId"": ""6000517"", ""originalName"": ""Muhiyaddeen Jumma Masjid"", ""latitude"": 7.0976820440000665, ""longitude"": 80.11205571200009, ""district"": ""Gampaha"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}, {""type"": ""dmrca"", ""id"": ""R/2241/GM/82"", ""originalName"": ""MUHIYADEEN THAKKIYA"", ""address"": ""300, DIPPITIGODA ROAD, HUNUPITIYA"", ""city"": ""WATTALA"", ""district"": ""Gampaha"", ""mosqueType"": ""TH"", ""sourcePdf"": ""gampaha__GAMPAHA-DISTRICT.pdf"", ""sourcePdfUrl"": ""https://muslimaffairs.gov.lk/wp-content/uploads/2023/12/GAMPAHA-DISTRICT.pdf"", ""note"": ""Department of Muslim Religious and Cultural Affairs Registered Mosque List.""}]"
nsdi-28328,"Grand Mosque ,Napawala",7.000634072000025,80.22145601300008,Kegalle,,,low,unverified,,,,,,,,nsdi,28328,,"[{""type"": ""nsdi"", ""id"": ""28328"", ""buildingId"": ""6000532"", ""originalName"": ""Grand Mosque ,Napawala"", ""latitude"": 7.000634072000025, ""longitude"": 80.22145601300008, ""district"": ""Kegalle"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-28336,,7.193319330000065,80.10898348400008,Gampaha,,,low,unverified,,,,,,,,nsdi,28336,,"[{""type"": ""nsdi"", ""id"": ""28336"", ""buildingId"": ""6000541"", ""originalName"": null, ""latitude"": 7.193319330000065, ""longitude"": 80.10898348400008, ""district"": ""Gampaha"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-28337,"Al Masjidus Sook, Kal-Eliya",7.195629913000062,80.11196382700007,Gampaha,,,medium,needs_review,,,,,,,,"nsdi,osm",28337,node/14020547897,"[{""type"": ""nsdi"", ""id"": ""28337"", ""buildingId"": ""6000542"", ""originalName"": null, ""latitude"": 7.195629913000062, ""longitude"": 80.11196382700007, ""district"": ""Gampaha"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}, {""type"": ""osm"", ""id"": ""node/14020547897"", ""osmLink"": ""https://www.openstreetmap.org/node/14020547897"", ""originalName"": ""Al Masjidus Sook, Kal-Eliya"", ""nameTa"": null, ""nameSi"": null, ""latitude"": 7.1946988, ""longitude"": 80.1108855, ""addrCity"": null, ""addrStreet"": null, ""sourceQuery"": ""religion=muslim"", ""note"": ""OpenStreetMap, ODbL-licensed (© OpenStreetMap contributors).""}]"
nsdi-28340,,7.000926924000055,80.13306857000003,Gampaha,,,low,unverified,,,,,,,,nsdi,28340,,"[{""type"": ""nsdi"", ""id"": ""28340"", ""buildingId"": ""6000545"", ""originalName"": null, ""latitude"": 7.000926924000055, ""longitude"": 80.13306857000003, ""district"": ""Gampaha"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-28344,,7.0409386800000675,80.25519366800006,Kegalle,,,low,unverified,,,,,,,,nsdi,28344,,"[{""type"": ""nsdi"", ""id"": ""28344"", ""buildingId"": ""6000549"", ""originalName"": null, ""latitude"": 7.0409386800000675, ""longitude"": 80.25519366800006, ""district"": ""Kegalle"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-28355,,7.056132088000027,80.25985471600006,Kegalle,,,low,unverified,,,,,,,,nsdi,28355,,"[{""type"": ""nsdi"", ""id"": ""28355"", ""buildingId"": ""6000560"", ""originalName"": null, ""latitude"": 7.056132088000027, ""longitude"": 80.25985471600006, ""district"": ""Kegalle"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-28360,yatiyantota town mosque,7.028962251000053,80.29543332400004,Kegalle,,,high,needs_review,,,,,,,,"nsdi,osm",28360,way/1190857125,"[{""type"": ""nsdi"", ""id"": ""28360"", ""buildingId"": ""6000565"", ""originalName"": ""Jumma Mosque"", ""latitude"": 7.028962251000053, ""longitude"": 80.29543332400004, ""district"": ""Kegalle"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}, {""type"": ""osm"", ""id"": ""way/1190857125"", ""osmLink"": ""https://www.openstreetmap.org/way/1190857125"", ""originalName"": ""yatiyantota town mosque"", ""nameTa"": null, ""nameSi"": null, ""latitude"": 7.0290175, ""longitude"": 80.2958188, ""addrCity"": null, ""addrStreet"": null, ""sourceQuery"": ""building=mosque"", ""note"": ""OpenStreetMap, ODbL-licensed (© OpenStreetMap contributors).""}]"
nsdi-28369,,7.117655463000062,80.28434692200005,Kegalle,,,low,unverified,,,,,,,,nsdi,28369,,"[{""type"": ""nsdi"", ""id"": ""28369"", ""buildingId"": ""6000575"", ""originalName"": null, ""latitude"": 7.117655463000062, ""longitude"": 80.28434692200005, ""district"": ""Kegalle"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-28370,Islamic Spiritual Centre,7.123088243000041,80.28174091700004,Kegalle,,,low,unverified,,,,,,,,nsdi,28370,,"[{""type"": ""nsdi"", ""id"": ""28370"", ""buildingId"": ""6000576"", ""originalName"": ""Islamic Spiritual Centre"", ""latitude"": 7.123088243000041, ""longitude"": 80.28174091700004, ""district"": ""Kegalle"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
