priorityRank,reviewType,priorityReason,id,name,district,address,dmrcaRegistrationNo,latitude,longitude,confidence,notes
189,conflict_to_resolve,"2 source(s) (nsdi,dmrca), medium confidence — has an unresolved candidate to adjudicate.",nsdi-16804,ROWLATHUL ATHKIYA THAKKIYA,Kalutara,TOTAWATTE,R/321/KL.24,6.742747517000055,79.91274952800006,medium,"An ambiguous OSM candidate exists (way/1183732924, name='Asjidul Ibraheem Zaviya', 272.4m away) — Nearest OSM mosque is 272m away, but its name ('Asjidul Ibraheem Zaviya') doesn't resemble the NSDI name ('Rawathul Athkiya Jumma Masjid') — possible name conflict / two distinct nearby mosques. Not linked, needs manual review."
190,conflict_to_resolve,"2 source(s) (nsdi,osm), medium confidence — has an unresolved candidate to adjudicate.",nsdi-17928,Meera Masjid,Ampara,,,6.875364128000058,81.83483719300006,medium,"A low-confidence DMRCA candidate exists (registrationNo=R/1044/AM/50, name='MEERA SAHIB ANDAVAR THAKKIYA', score=100.0) — not linked, needs manual review."
191,conflict_to_resolve,"2 source(s) (nsdi,dmrca), medium confidence — has an unresolved candidate to adjudicate.",nsdi-19693,AMBATALELLA MUSLIM THAKKIYA,Kandy,PETHIYAGODA,R/348/K.108,7.044485362000046,80.52798458900008,medium,"An ambiguous OSM candidate exists (way/1104012454, name='Selam Bridge Jumma Masjid', 13.4m away) — Nearest OSM mosque is 13m away, but its name ('Selam Bridge Jumma Masjid') doesn't resemble the NSDI name ('Jumma Muslim Mosque') — possible name conflict / two distinct nearby mosques. Not linked, needs manual review."
192,conflict_to_resolve,"2 source(s) (nsdi,dmrca), medium confidence — has an unresolved candidate to adjudicate.",nsdi-22267,MARUKONE THAKKIYA,Matale,"WATHEGAMA ROAD, MARUKONE",R/1364/MT 42,7.412012569000069,80.64389141500004,medium,"An ambiguous OSM candidate exists (way/1167295611, name='Masjidul Noor Jummah Mosque', 13.6m away) — Nearest OSM mosque is 14m away, but its name ('Masjidul Noor Jummah Mosque') doesn't resemble the NSDI name ('Marukona Jumma Mosque') — possible name conflict / two distinct nearby mosques. Not linked, needs manual review."
193,conflict_to_resolve,"2 source(s) (nsdi,osm), medium confidence — has an unresolved candidate to adjudicate.",nsdi-25605,Buhari Jumma Mosque,Trincomalee,,,8.439485886000057,81.05086295100006,medium,"A low-confidence DMRCA candidate exists (registrationNo=R/0954/T/054, name='BUHARY MOSQUE', score=83.3) — not linked, needs manual review."
194,conflict_to_resolve,"2 source(s) (nsdi,osm), medium confidence — has an unresolved candidate to adjudicate.",nsdi-25999,Mahaideen Jummah Mosque,Vavuniya,,,8.72480672000006,80.43109505300004,medium,"A low-confidence DMRCA candidate exists (registrationNo=R/1373/V/24, name='MOHIDEEN JUMMA MOSQUE', score=82.4) — not linked, needs manual review."
195,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-14333,Zaviya Shazuliyyah,Galle,,,6.024909778000051,80.21847024100003,medium,
196,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-14383,,Galle,,,6.037038695000035,80.21978204900006,medium,
197,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-14420,Nabaviyya Taikka,Galle,,,6.0434239640000555,80.22467387400008,medium,
198,quick_confirm,"2 source(s) (nsdi,dmrca), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-15638,MASJIDUR RAHUMAN,Kalutara,"182, ADIKARIGODA",R/642/KL.36,6.462115178000033,79.98327907100008,medium,
199,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-15642,Masjid ul Abrar,Kalutara,,,6.463226209000027,79.97598855100006,medium,
200,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-15712,Riyalus Saliheen Jummah Masjid,Kalutara,,,6.4793049060000385,79.98598372200007,medium,
201,quick_confirm,"2 source(s) (nsdi,dmrca), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-15897,MADRASATHUL RAHUMANIYA THAKKIYA,Ratnapura,KETANDOLA,R/1331/R.23,6.540113031000033,80.58932652900006,medium,
202,quick_confirm,"2 source(s) (nsdi,dmrca), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-15992,MAHAHEENATIYANGALA MOSQUE,Kalutara,MAHAHEENATIYANGALA,R/1002/KL53,6.569265445000042,79.97315357500008,medium,
203,quick_confirm,"2 source(s) (nsdi,dmrca), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-16528,ATULUGAMUWA GRAND JUMMA MOSQUE,Kalutara,ATULUGAMA,R/912/KL.46,6.695854913000062,79.99714122200004,medium,
204,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-16852,Naleemiya Jumma Masjid,Kalutara,,,6.75284361000007,79.90527621900003,medium,
205,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-17455,,Nuwara Eliya,,,6.831104651000032,80.57232535400004,medium,
206,quick_confirm,"2 source(s) (nsdi,dmrca), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-17734,BOGAHAKUMBURA JUMMA MOSQUE,Badulla,BOGAHAKUMBURA,R/139/BD/33,6.860558956000034,80.87506705400006,medium,
207,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-17784,Dehiwala Jumma Masjid,Colombo,,,6.864141719000031,79.86590354700007,medium,
208,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-17883,Town Mosque,Ampara,,,6.87146537600006,81.83129304300007,medium,
209,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-17946,,Ampara,,,6.876517403000037,81.83151248600007,medium,
210,quick_confirm,"2 source(s) (nsdi,dmrca), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-18577,KALANDAR SAHIB JUMMA MOSQUE,Colombo,"191/26, ZAHIR CASSIM HAJIAR PLACE, 1ST DIVISION, MARADANA",R/336/C.38,6.930925007000042,79.86261716500007,medium,
211,quick_confirm,"2 source(s) (nsdi,dmrca), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-18691,MEMON HANAFI MOSQUE,Colombo,"45, 3RD CROSS STREET",R/142/C.26,6.937029720000055,79.85274445900006,medium,
212,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-18744,Grand Mosque,Colombo,,,6.940428080000061,79.85895006400006,medium,
213,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-19761,Masjidhul Hijra,Nuwara Eliya,,,7.0576090330000625,80.56729708400007,medium,
214,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-20381,Jummah Masjid,Kandy,,,7.1705238690000215,80.57228320000007,medium,
215,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-20389,Kahapitiya Jummah Masjid,Kandy,,,7.1718203020000715,80.57600763900007,medium,
216,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-20408,Wilpola Jummah Mosque,Kegalle,,,7.174660759000062,80.45118458400003,medium,
217,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-20439,Hemmathagama Grand Mosque,Kegalle,,,7.180559369000036,80.50076268600003,medium,
218,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-20716,,Kandy,,,7.219476616000065,80.56920523900004,medium,
219,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-20959,,Ampara,,,7.248999599000058,81.85525037000008,medium,
220,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-21495,Jamiul Khairath Jummah Masjid Mahaiyawa,Kandy,,,7.304615497000043,80.63449620800003,medium,
221,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-21582,Udispattuwa Jumma Mosque,Kandy,,,7.315624661000072,80.78584095400004,medium,
222,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-21973,,Kandy,,,7.37004599200003,80.61557875200003,medium,
223,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-22000,Grand Mosque,Ampara,,,7.371941273000061,81.80280072100004,medium,
224,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-22126,al aqsha,Ampara,,,7.390707171000031,81.84484858300004,medium,
225,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-22136,masjid safa,Ampara,,,7.391981565000037,81.83629978400006,medium,
226,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-22285,Natpitimunai Grand Mosque,Ampara,,,7.413037576000022,81.80985281800008,medium,
227,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-22300,,Ampara,,,7.414625337000075,81.82568675300007,medium,
228,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-22325,Salam Mosque,Ampara,,,7.417066988000045,81.81159991000004,medium,
229,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-22344,Ukuwela Town Masjidh,Matale,,,7.421335628000065,80.63523596400006,medium,
230,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-22410,Narammala Mosque,Kurunegala,,,7.428213019000054,80.21403949500007,medium,
231,quick_confirm,"2 source(s) (nsdi,dmrca), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-22544,JEMALIYA JUMMA MOSQUE,Kurunegala,NAPE,R/003/KU 01,7.447472056000038,80.42790149900003,medium,
232,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-22696,Raheemiya Jumma Masjid,Matale,,,7.4705227330000525,80.62714287900008,medium,
233,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-22834,Malay Jumma Mosque,Kurunegala,,,7.49033810100002,80.36467097300005,medium,
234,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-23699,Kuba Jummah Masjith,Batticaloa,,,7.677227217000052,81.72434044800008,medium,
235,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-23724,Central College Mosque,Batticaloa,,,7.68209408000007,81.73816702900007,medium,
236,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-23767,Mohideen Thaika Mosque,Batticaloa,,,7.690516445000071,81.72556248600006,medium,
237,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-24135,JAMIUL AKBAR JUMMA MOSQUE,Batticaloa,,,7.775200808000022,81.60506133500007,medium,
238,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-24653,,Kurunegala,,,7.964939977000029,80.32690921900007,medium,
239,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-24752,Muhaiyadeen Jumma Masjid,Puttalam,,,8.006091575000028,79.83765517000006,medium,
240,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-24810,Mohideen Jumma Masjid,Puttalam,,,8.032372165000027,79.82848193000007,medium,
241,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-25254,,Puttalam,,,8.238411902000053,79.76544594200004,medium,
242,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-25317,,Anuradhapura,,,8.271751453000036,80.70988135300007,medium,
243,quick_confirm,"2 source(s) (nsdi,dmrca), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-25596,MUHAIDEEN JUMMA MOSQUE,Trincomalee,95TH MILE POST,R/1902T/170,8.432632014000035,81.04879920100007,medium,
244,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-25745,Grand Mosque,Trincomalee,,,8.506199172000038,81.18183174600006,medium,
245,quick_confirm,"2 source(s) (nsdi,dmrca), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-25760,MASJIDUL QUBAH,Trincomalee,"HIJRA NAGAR, WELLAIMANAL",R/1648/T/142,8.51805403700007,81.18997459200006,medium,
246,quick_confirm,"2 source(s) (nsdi,dmrca), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-25768,AL MADRASTHUL SAHRIYA THAKKIYA,Trincomalee,CHINA BAY,R/1222/T/085,8.528026389000047,81.18808814600004,medium,
247,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-25874,,Trincomalee,,,8.59138058600007,81.22475983100009,medium,
248,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-26000,,Trincomalee,,,8.725910249000037,81.17323048600008,medium,
249,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-26105,Pattanichoor Jumma Mosque,Vavuniya,,,8.764523950000068,80.48218773500008,medium,
250,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-26118,Majithul Jamiya Jamal Mosque,Vavuniya,,,8.772131910000041,80.51567034100003,medium,
251,quick_confirm,"2 source(s) (nsdi,osm), medium confidence — corroborated, ready for a quick manual confirm.",nsdi-26997,Mankumban Darga,Jaffna,,,9.634099363000075,79.92655039700009,medium,
